customer_id,sex
14386819,Female
1481405,
16745074,
10325906,
11167384,
21348392,
16911098,
7835583,
1416774,
21548735,
5199621,Male
5460115,Male
2082716,
18135955,
13919664,
7002012,
10474761,
6141655,Female
6391273,
7306721,Male
14927302,
16036086,
19351521,Female
19489663,
18397726,
6611491,Female
16117951,
1648776,Female
4619478,Female
15260868,
9431113,
4089774,
2940443,
19219250,
18793365,
14736235,
1924435,
4929765,Female
9756913,
7208364,
18761457,
17056890,
8976713,Female
8475837,
13796424,Female
2441393,
9566975,
8116319,
2297970,
1943099,Female
11028177,Female
10499098,
14731693,
1213182,
18178898,
21315762,Male
14704723,Female
7751625,Female
14695879,Male
8912026,
20167771,Female
9591780,
12135492,
12188926,
14127683,Male
9359789,
11801945,Female
5200772,
18615848,
16688785,Male
9225100,Female
12687688,
20102221,
2847464,
17332098,Female
5754253,
4798618,Female
18714523,Female
18157062,
12879819,
5772501,
5120734,
17199392,
17378626,Female
11842488,
13638725,
5031460,
937688,Male
2990911,
11186505,Female
6093763,
18361303,Female
11381390,
5163443,
3556981,Male
3479389,Female
18969807,
9560290,Female
12855398,
20428146,
3756470,
68377,Female
83323,Female
17576487,
10170256,
13875008,
20172010,
16559347,
9217744,
4174285,
5757039,
9021120,
16906452,Female
8015571,Male
12438841,Female
15525656,Female
3386603,Female
21207117,
6429102,
14203982,
16261246,
13375537,
12345067,
8676276,Male
8474500,
21229078,
13293701,
5159186,
18887630,
17733058,
7344700,
9576710,
417378,
3015449,
19901666,
4625993,
3012005,
7387174,
19902907,Female
9625434,
10683289,
15531073,
11547456,
8257769,
6655037,
664266,
4726600,Female
1266092,
17510739,
10305831,
7382163,
14083439,
3526895,
9851781,
5838854,
5386232,
522687,
8488169,
5535961,
19047314,
17906015,
17028276,
5576862,Female
13171493,
370743,
12190604,
1279935,
960283,
8652314,
1958968,
13970129,Female
20796963,
21652913,
4040899,
16038881,
19990645,
13108427,
3860473,
13922576,
10375308,
20959649,Male
13936474,Female
12129548,
17264476,
12365294,
1827520,
20291436,
17454105,
17608751,
18218556,
3417651,
19920817,
5432202,Male
8780577,
16302950,Male
19128706,
15447146,
1715736,
17717916,
19320748,
3422343,
17548234,
15407926,
2715492,
18296921,
4220443,
14820396,
12148093,Female
3253482,Female
6698505,Male
9597369,
20059819,
19742376,
10822520,Female
17788322,Female
7336696,Female
20843390,
15655328,
3552297,
11935330,
1237225,
11194139,
15483284,Female
283053,Female
5581996,Female
13869984,
3586128,
211081,
20627259,
21064103,
9191526,
20610385,
7605575,
11975124,
1208774,
3774296,
11683763,
21038450,
1593650,
132091,
9529963,
12104957,
11429085,
606129,
2376489,
18153461,
15102421,
5364197,
2499185,
15142985,
1329928,
2367010,
14724400,
20601382,Female
9788406,
20970242,
16298243,
4270597,
7417602,
6886503,
4832459,
8423308,
18217260,
17286267,
7187932,
9385237,
7138937,
11341665,
1249977,Male
1975971,
9967759,
17212935,Male
17216838,Male
9308925,
21257849,
18063093,
8317473,
15893158,
5961958,
6051321,
15303385,
6674856,Female
6967844,
8973608,
14403712,
15133928,
13542740,Female
15662671,
16042425,
6597725,
11558836,
17458487,
3777804,
19112944,
9813901,
13769716,
14755563,
6982352,Female
18696111,
9344706,Female
20213302,Female
21335975,
12080523,
11359225,
6258364,Female
4539236,Female
5777673,Female
12421769,
17904877,
18986290,
4090953,
3861210,Male
15661567,
14220618,
11708862,
12853120,Male
12402055,
7467088,Male
18832853,
2646127,
531580,
137394,Female
11641510,
5347747,Male
2684911,
8289217,
20349283,Female
7165776,Female
12257724,
18437366,
10922240,
9655626,Female
21319618,
19838532,Female
819305,
4749712,
2421438,Female
4513564,
6084106,Male
9084359,
12250146,
10642604,
10350271,Female
11017279,Male
17550357,
2458946,
2788941,
12968255,
