;product_id;datetime;unique_cust_count_sex_known;unique_female_count_sex_known;cust_mean;cust_median;unique_cust_count_all_sex;cust_count;unique_cust_count_all_sex_last_month;cust_count_last_month;Item_sin_score;Item_lin_score;updated_cust_mean
0;12530;2004-03-10 22:18:43.497459200;101.0;78.0;0.77228;1.0;700.0;700.0;166.0;166.0;3.49106;2.51858;0.8741914783101256
1;5868;2004-02-28 12:47:15.358828800;3330.0;2338.0;0.7021;1.0;11703.0;11714.0;11667.0;11673.0;4.81073;3.27848;0.7838065928134669
2;7541;2004-03-06 02:24:43.209763200;221.0;114.0;0.3424141044023153;1.0;354.0;362.0;66.0;66.0;-2.56678;-1.70277;0.5246432281721352
3;280;2004-03-07 12:28:36.705312000;244.0;97.0;0.26388667622537304;0.0;384.0;394.0;96.0;98.0;-3.71662;-2.59784;0.39559240624298747
4;9439;2004-03-11 22:16:47.509084800;91.0;43.0;0.3136649673410865;0.0;146.0;151.0;36.0;36.0;-2.49839;-1.68514;0.46309220084066427
5;12787;2004-03-11 13:04:07.804425600;384.0;175.0;0.3025131432212841;0.0;635.0;642.0;255.0;257.0;-3.46109;-2.35137;0.47493769013558956
6;9287;2004-03-07 19:57:07.531872000;139.0;120.0;0.7230304749554223;1.0;159.0;160.0;51.0;51.0;3.18603;2.20427;0.8691727936816154
7;8689;2004-03-04 13:17:49.470412800;191.0;115.0;0.3996667728745154;1.0;263.0;265.0;62.0;62.0;-1.62989;-1.055;0.6229203812417682
8;11898;2004-03-12 10:41:45.253257600;528.0;318.0;0.3997862567043704;1.0;896.0;935.0;208.0;209.0;-1.94185;-1.25688;0.6373102974703656
9;1809;2004-03-11 02:27:53.707891201;51.0;29.0;0.3774560565025755;1.0;71.0;71.0;11.0;11.0;-1.48386;-0.9684;0.5801335415579075
10;4797;2004-02-25 10:47:23.848291200;97.0;33.0;0.22583107641654718;0.0;130.0;137.0;29.0;29.0;-3.47865;-2.51411;0.3124858796640905
11;1321;2004-03-06 16:16:12.922214400;90.0;39.0;0.2876440443948808;0.0;127.0;135.0;28.0;29.0;-2.79104;-1.91582;0.4411686155091282
12;4299;2004-03-10 15:40:24.236640000;26.0;15.0;0.38295895066645425;1.0;36.0;38.0;36.0;38.0;-1.18474;-0.7715;0.5782863286318451
13;9408;2004-03-07 02:14:18.914851200;1035.0;735.0;0.4713902607402687;1.0;2718.0;2819.0;751.0;765.0;-0.62321;-0.39728;0.7681897320595781
14;1915;2004-03-09 23:21:59.495107200;199.0;90.0;0.30020976050130105;0.0;315.0;326.0;85.0;85.0;-3.11145;-2.1171;0.4550036396840996
15;13134;2004-03-10 01:03:09.598614400;143.0;123.0;0.7166072296968715;1.0;165.0;166.0;39.0;39.0;3.12688;2.15299;0.864121522364179
16;6572;2004-03-04 16:45:16.522566400;374.0;300.0;0.5990841303290646;1.0;432.0;475.0;94.0;95.0;1.81529;1.17453;0.812333147929228
17;7240;2003-12-02 01:59:02.889913600;365.0;307.0;0.6780272329388879;1.0;1517.0;1517.0;102.0;102.0;3.13184;2.10166;0.8958913445690424
18;13052;2004-02-21 12:41:31.848153600;287.0;238.0;0.6540565731885232;1.0;938.0;938.0;453.0;453.0;2.63502;1.74483;0.8745782780301742
19;2984;2003-12-29 22:46:50.621792000;545.0;437.0;0.5984559896255471;1.0;1032.0;1056.0;112.0;116.0;1.91852;1.24106;0.8370139263853679
20;5449;2004-02-04 08:05:34.006435200;1784.0;1353.0;0.5104757659264062;1.0;7717.0;7722.0;837.0;837.0;0.24636;0.15687;0.8408079462083223
21;4659;2004-03-12 13:29:35.011481600;42.0;27.0;0.42672986033667887;1.0;69.0;69.0;69.0;69.0;-0.85815;-0.55117;0.6670594815061762
22;965;2004-03-12 12:45:22.982177600;270.0;204.0;0.5047009239747122;1.0;410.0;419.0;54.0;57.0;0.08273;0.05267;0.7787342906318699
23;9048;2004-03-03 10:02:09.329547200;23.0;21.0;0.8237964013616468;1.0;27.0;27.0;5.0;5.0;2.70344;2.05808;0.9179676196451949
24;4814;2004-03-09 23:50:32.739800000;74.0;42.0;0.3767524295045404;1.0;107.0;109.0;16.0;16.0;-1.63025;-1.06424;0.5921621127484056
25;3422;2004-03-08 15:14:21.489857600;770.0;609.0;0.5763292267790565;1.0;2238.0;2286.0;1018.0;1027.0;1.57885;1.01483;0.842486533636201
26;4657;2004-03-04 12:00:00.591704000;43.0;30.0;0.4631126865275344;1.0;45.0;46.0;13.0;13.0;-0.43755;-0.27918;0.7077536266210087
27;1527;2004-03-11 19:16:49.273976000;24.0;14.0;0.3872139026074027;1.0;25.0;25.0;9.0;9.0;-1.11682;-0.72609;0.5705736718880549
28;12072;2004-03-12 22:44:45.629382400;127.0;95.0;0.74803;1.0;1345.0;1347.0;499.0;500.0;3.4096;2.4069;0.8868707760852628
29;220;2004-02-28 17:02:00.916425601;476.0;242.0;0.3374754394349742;1.0;679.0;705.0;142.0;145.0;-3.01399;-2.00475;0.510861229477953
30;2614;2004-03-03 16:48:50.046982401;391.0;276.0;0.46856247676703305;1.0;538.0;550.0;116.0;116.0;-0.58879;-0.37544;0.7315458814180134
31;3121;2004-03-03 07:18:53.934288000;667.0;495.0;0.4926251925017258;1.0;2339.0;2344.0;2108.0;2108.0;-0.15068;-0.09594;0.825022375021555
32;2029;2004-03-12 18:37:25.803136000;200.0;146.0;0.48457330996760656;1.0;513.0;513.0;416.0;416.0;-0.25692;-0.16362;0.7856231700484698
